CID100000085;carnitina
CID100000119;ácido gama-aminobutírico
CID100000137;ácido 5-aminolevulínico
CID100000143;leucovorina
CID100000146;5-metiltetraidrofolato
CID100000158;PGE2
CID100000159;prostaciclina
CID100000160;prostaglandina
CID100000175;acetato
CID100000187;acetilcolina
CID100000191;adenosina
CID100000206;glicose
CID100000214;PGE1
CID100000222;amônia
CID100000232;arginina
CID100000244;benzil
CID100000247;betaína
CID100000271;cálcio
CID100000297;grafeno
CID100000298;cloranfenicol
CID100000303;bile
CID100000305;colina
CID100000311;cítrico
CID100000312;cloreto
CID100000338;salicilato
CID100000401;D-cicloserina
CID100000444;bupropiona
CID100000450;estradiol
CID100000453;manitol
CID100000564;EACA
CID100000581;N-acetilcisteína
CID100000596;citarabina
CID100000598;mesna
CID100000612;lactato
CID100000679;DMSO
CID100000681;dopamina
CID100000698;estrona
CID100000699;Estrogênio
CID100000700;monoetanolamina
CID100000727;lindano
CID100000738;glutamina
CID100000750;glicina
CID100000753;glicerol
CID100000767;bicarbonato
CID100000772;HBPM
CID100000774;histamina
CID100000785;quinol
CID100000813;potássio
CID100000815;canamicina
CID100000838;epinefrina
CID100000853;tiroxina
CID100000861;triiodotironina
CID100000888;magnésio
CID100000896;melatonina
CID100000923;sódio
CID100000937;niacina
CID100000942;nicotina
CID100000946;nitrito
CID100000948;nitroso
CID100000951;norepinefrina
CID100000961;hidroxil
CID100001003;fosfato
CID100001046;pirazinamida
CID100001054;piridoxina
CID100001065;quinidina
CID100001071;retinol
CID100001084;tiossulfato
CID100001125;tetraidrobiopterina
CID100001130;tiamina
CID100001134;timidina
CID100001206;metanfetamina
CID100001301;naproxeno
CID100001546;cladribina
CID100001690;doxorrubicina
CID100001727;4-AP
CID100001775;fenitoína
CID100001798;metazolamida
CID100001805;5-azacitidina
CID100001875;metilprednisolona
CID100001971;abacavir
CID100001972;anfotericina
CID100001978;acebutolol
CID100001983;acetaminofeno
CID100001986;acetazolamida
CID100001990;acetoidroxâmico
CID100001993;metacolina
CID100002019;actinomicina
CID100002021;espectinomicina
CID100002022;aciclovir
CID100002082;albendazol
CID100002083;salbutamol
CID100002085;Almeta
CID100002088;alendronato
CID100002092;alfuzosina
CID100002094;alopurinol
CID100002099;alosetron
CID100002118;alprazolam
CID100002123;hexametilmelamina
CID100002130;amantadina
CID100002133;amcinonida
CID100002140;diatrizoato
CID100002141;amifostina
CID100002142;amicacina
CID100002145;aminoglutetimida
CID100002148;p-amino-hipurato
CID100002153;teofilina
CID100002156;amiodarona
CID100002159;amisulprida
CID100002160;amitriptilina
CID100002161;amlexanox
CID100002162;anlodipino
CID100002163;amobarbital
CID100002168;amorolfina
CID100002170;amoxapina
CID100002171;amoxicilina
CID100002173;ampicilina
CID100002177;amprenavir
CID100002179;amsacrina
CID100002182;anagrelida
CID100002187;anastrozol
CID100002215;apomorfina
CID100002216;apraclonidina
CID100002232;argatrobana
CID100002244;aspirina
CID100002249;atenolol
CID100002250;atorvastatina
CID100002265;azatioprina
CID100002266;azelaico
CID100002267;azelastina
CID100002269;azitromicina
CID100002274;aztreonam
CID100002284;baclofeno
CID100002307;beclometasona
CID100002308;beclometasona
CID100002311;benazepril
CID100002315;bendrofluazida
CID100002337;benzocaína
CID100002341;benzfetamina
CID100002344;benztropina
CID100002345;benzil
CID100002349;penicilina
CID100002350;bepotastina
CID100002351;bepridil
CID100002366;betaistina
CID100002367;dexametasona
CID100002369;betaxolol
CID100002370;betanecol
CID100002375;bicalutamida
CID100002391;bisacodil
CID100002405;bisoprolol
CID100002431;bretílio
CID100002435;brimonidina
CID100002441;bromazepam
CID100002442;bromexina
CID100002443;bromocriptina
CID100002462;budesonida
CID100002471;bumetanida
CID100002474;bupivacaína
CID100002476;buprenorfina
CID100002477;buspirona
CID100002478;bussulfano
CID100002479;butabarbital
CID100002484;butenafina
CID100002487;butorfanol
CID100002512;cabergolina
CID100002519;cafeína
CID100002520;verapamil
CID100002522;calcipotriol
CID100002524;1,25(OH)2D3
CID100002540;candesartana
CID100002541;candesartana
CID100002547;capreomicina
CID100002548;capsaicina
CID100002550;captopril
CID100002551;carbacol
CID100002554;carbamazepina
CID100002559;carbenicilina
CID100002563;carbidopa
CID100002564;carbinoxamina
CID100002576;carisoprodol
CID100002578;BCNU
CID100002583;carteolol
CID100002585;carvedilol
CID100002609;cefaclor
CID100002610;cefadroxil
CID100002617;cefazolina
CID100002622;cefepima
CID100002631;cefotaxima
CID100002637;cefoxitina
CID100002646;cefprozil
CID100002650;ceftazidima
CID100002654;cefem
CID100002655;ceftizoxima
CID100002656;ceftriaxona
CID100002658;cefuroxima
CID100002662;celecoxibe
CID100002663;celiprolol
CID100002666;cefalexina
CID100002675;cefixima
CID100002676;cerivastatina
CID100002678;cetirizina
CID100002684;cevimelina
CID100002708;clorambucil
CID100002712;clordiazepóxido
CID100002713;clorexidina
CID100002719;cloroquina
CID100002720;tiazida
CID100002725;clorfeniramina
CID100002726;clorpromazina
CID100002727;clorpropamida
CID100002732;clortalidona
CID100002733;clorzoxazona
CID100002749;ciclopirox
CID100002751;cilazapril
CID100002754;cilostazol
CID100002756;cimetidina
CID100002762;cinoxacino
CID100002764;ciprofloxacino
CID100002767;cisplatina
CID100002771;citalopram
CID100002781;clemastina
CID100002786;clindamicina
CID100002789;clobazam
CID100002791;clobetasol
CID100002792;clobetasona
CID100002794;clofazimina
CID100002800;clomifeno
CID100002801;clomipramina
CID100002802;clonazepam
CID100002803;clonidina
CID100002806;clopidogrel
CID100002809;clorazepato
CID100002812;clotrimazol
CID100002818;clozapina
CID100002826;cocaína
CID100002828;codeína
CID100002833;colchicina
CID100002881;sódio
CID100002883;crotamitona
CID100002891;cianocobalamina
CID100002895;ciclobenzaprina
CID100002905;ciclopentolato
CID100002907;ciclofosfamida
CID100002909;v
CID100002913;ciproeptadina
CID100002914;ciproterona
CID100002949;danazol
CID100002951;dantroleno
CID100002955;dapsona
CID100002958;antraciclina
CID100002972;deferiprona
CID100002973;deferoxamina
CID100002978;delta
CID100002995;desipramina
CID100003000;desoximetasona
CID100003003;dexametasona
CID100003007;anfetamina
CID100003008;dextrometorfano
CID100003009;DFMO
CID100003015;ciproterona
CID100003016;diazepam
CID100003019;diazóxido
CID100003032;diclofenaco
CID100003038;diclorfenamida
CID100003040;dicloxacilina
CID100003042;diciclomina
CID100003043;didanosina
CID100003053;dietilenotriaminopentaacético
CID100003056;diflorasona
CID100003059;diflunisal
CID100003060;epitópico
CID100003062;digoxina
CID100003063;diidrocodeína
CID100003066;diidroergotamina
CID100003075;diltiazem
CID100003080;dimercaprol
CID100003100;difenidramina
CID100003105;dipivefrina
CID100003108;dipiridamol
CID100003114;disopiramida
CID100003117;dissulfiram
CID100003121;valproato
CID100003125;alfa-metil-p-tirosina
CID100003143;docetaxel
CID100003148;dolasetrona
CID100003151;domperidona
CID100003152;donepezila
CID100003154;dorzolamida
CID100003155;dotiepina
CID100003156;doxapram
CID100003157;doxazosina
CID100003158;doxepina
CID100003168;droperidol
CID100003171;L-treo-DOPS
CID100003182;difilina
CID100003198;econazol
CID100003199;trabectedina
CID100003202;edrofônio
CID100003203;efavirenz
CID100003209;ácido eicosapentaenoico
CID100003219;emedastina
CID100003222;CAS
CID100003226;enflurano
CID100003241;epinastina
CID100003249;vitamina
CID100003250;ergonovina
CID100003251;ergotamina
CID100003255;eritromicina
CID100003256;monomicina
CID100003261;estazolam
CID100003263;estradiol
CID100003267;estradiol
CID100003268;estramustina
CID100003269;estriol
CID100003278;ácido etacrínico
CID100003279;etambutol
CID100003291;etosuximida
CID100003292;etoína
CID100003305;etidronato
CID100003308;etodolaco
CID100003310;etoposídeo
CID100003324;famciclovir
CID100003325;famotidina
CID100003331;felbamato
CID100003333;felodipino
CID100003339;fenofibrato
CID100003340;fenoldopam
CID100003342;fenoprofeno
CID100003345;fentanil
CID100003348;fexofenadina
CID100003350;finasterida
CID100003354;flavoxato
CID100003355;flecainida
CID100003363;FdUrd
CID100003364;flucloxacilina
CID100003365;fluconazol
CID100003366;5-fluorocitosina
CID100003367;fludarabina
CID100003368;FAMP
CID100003370;fludrocortisona
CID100003372;flufenazina
CID100003373;flumazenil
CID100003375;flumetasona
CID100003379;flunisolida
CID100003380;flunitrazepam
CID100003381;fluocinolona
CID100003382;fluocinonida
CID100003384;fluorometolona
CID100003385;5-FU
CID100003386;fluoxetina
CID100003387;fluoximesterona
CID100003388;flufenazina
CID100003392;flurandrenolona
CID100003393;flurazepam
CID100003394;flurbiprofeno
CID100003397;flutamida
CID100003399;fluticasona
CID100003403;fluvastatina
CID100003404;fluvoxamina
CID100003405;folato
CID100003406;4-metilpirazol
CID100003410;formoterol
CID100003414;foscarnet
CID100003417;fosfomicina
CID100003419;fosinopril
CID100003425;Romidepsina
CID100003440;furosemida
CID100003443;ácido fusídico
CID100003446;gabapentina
CID100003449;galantamina
CID100003454;ganciclovir
CID100003461;gemcitabina
CID100003462;gemeprost
CID100003463;genfibrozila
CID100003467;gentamicina
CID100003475;gliclazida
CID100003476;glimepirida
CID100003478;glipizida
CID100003488;glibenclamida
CID100003494;glicopirrolato
CID100003510;granisetrona
CID100003512;griseofulvina
CID100003516;guaifenesina
CID100003517;icodextrina
CID100003519;guanfacina
CID100003520;guanidínio
CID100003553;halcinonida
CID100003559;haloperidol
CID100003598;hexaclorofeno
CID100003623;homatropina
CID100003636;Buscopan
CID100003637;hidralazina
CID100003639;hidroclorotiazida
CID100003640;cortisol
CID100003642;hidrocortisona
CID100003647;hidroflumetiazida
CID100003648;hidromorfona
CID100003652;hidroxicloroquina
CID100003657;hidroxiureia
CID100003658;hidroxizina
CID100003661;atropina
CID100003672;ibuprofeno
CID100003675;fenelzina
CID100003676;lidocaína
CID100003685;idarrubicina
CID100003687;IdUrd
CID100003690;ifosfamida
CID100003696;imipramina
CID100003702;indapamida
CID100003706;indinavir
CID100003715;indometacina
CID100003724;iodixanol
CID100003730;iohexol
CID100003734;iopamidol
CID100003736;iopromida
CID100003737;sódio
CID100003738;iotrolan
CID100003739;iodipamida
CID100003741;ioversol
CID100003742;ioxaglato
CID100003743;ioxilano
CID100003746;ipratrópio
CID100003749;irbesartana
CID100003750;irinotecano
CID100003759;isocarboxazida
CID100003763;isoflurano
CID100003767;isoniazida
CID100003777;isopropil
CID100003779;isoproterenol
CID100003780;isossorbida
CID100003783;isoxsuprina
CID100003784;isradipino
CID100003793;itraconazol
CID100003821;cetamina
CID100003823;cetoconazol
CID100003825;cetoprofeno
CID100003826;cetorolaco
CID100003827;cetotifeno
CID100003830;citocinina
CID100003848;fenillactato
CID100003869;labetalol
CID100003872;lactulose
CID100003877;lamivudina
CID100003878;lamotrigina
CID100003883;lansoprazol
CID100003890;latanoprosta
CID100003899;leflunomida
CID100003902;letrozol
CID100003911;Leuprorrelina
CID100003914;levobunolol
CID100003915;levocabastina
CID100003916;levomepromazina
CID100003918;dextrorfano
CID100003928;lincomicina
CID100003929;linezolida
CID100003937;Lisinopril
CID100003938;lisurida
CID100003939;LiOH
CID100003948;lomefloxacino
CID100003950;lomustina
CID100003954;loperamida
CID100003957;loratadina
CID100003958;lorazepam
CID100003961;losartana
CID100003962;lovastatina
CID100003964;loxapina
CID100003998;mafenida
CID100004004;malationa
CID100004011;maprotilina
CID100004030;mebendazol
CID100004031;mebeverina
CID100004032;mecamilamina
CID100004033;nitrogênio
CID100004034;monamina
CID100004036;meclofenamat o
CID100004042;medroxiprogesterona
CID100004043;medrisona
CID100004044;ácido mefenâmico
CID100004046;mefloquina
CID100004048;megestrol
CID100004051;meloxicam
CID100004053;melfalan
CID100004054;memantina
CID100004057;Cantril
CID100004058;meperidina
CID100004060;mefenitoína
CID100004062;mepivacaína
CID100004064;meprobamato
CID100004075;5-ASA
CID100004086;metaproterenol
CID100004091;metformina
CID100004095;metadona
CID100004101;metenamina
CID100004107;metocarbamol
CID100004112;metotrexato
CID100004114;8-MOP
CID100004120;N-metilescopolamina
CID100004121;meticlotiazida
CID100004138;metildopa
CID100004139;azul de metileno
CID100004140;metilergometrina
CID100004158;metilfenidato
CID100004159;metilprednisolona
CID100004160;metiltestosterona
CID100004163;metisergida
CID100004168;metoclopramida
CID100004170;metolazona
CID100004171;metoprolol
CID100004173;metronidazol
CID100004174;metirapona
CID100004178;mexiletina
CID100004184;mianserina
CID100004189;miconazol
CID100004192;midazolam
CID100004195;midodrina
CID100004196;mifepristona
CID100004197;milrinona
CID100004201;minoxidil
CID100004205;mirtazapina
CID100004211;mitotano
CID100004212;mitoxantrona
CID100004235;moclobemida
CID100004236;modafinila
CID100004240;mometasona
CID100004248;montelucaste
CID100004253;morfina
CID100004259;moxifloxacino
CID100004264;mupirocina
CID100004271;micofenolato
CID100004272;ácido micofenólico
CID100004274;tetrofosmin
CID100004409;nabumetona
CID100004411;nadolol
CID100004419;nalbufina
CID100004421;ácido nalidíxico
CID100004422;nalmefeno
CID100004425;naloxona
CID100004428;naltrexona
CID100004432;nandrolona
CID100004436;nafazolina
CID100004440;naratriptano
CID100004443;nateglinida
CID100004449;nefazodona
CID100004450;nefopam
CID100004451;nelfinavir
CID100004454;neomicina
CID100004456;neostigmina
CID100004463;nevirapina
CID100004473;nicardipino
CID100004485;nifedipino
CID100004493;nilutamida
CID100004497;nimodipino
CID100004499;nisoldipino
CID100004506;nitrazepam
CID100004509;nitrofurantoína
CID100004510;nitroglicerina
CID100004513;nizatidina
CID100004536;noretisterona
CID100004539;norfloxacino
CID100004542;levonorgestrel
CID100004543;nortriptilina
CID100004547;repaglinida
CID100004568;nistatina
CID100004583;ofloxacino
CID100004585;olanzapina
CID100004594;omeprazol
CID100004595;ondansetrona
CID100004599;orlistate
CID100004601;orfenandrina
CID100004603;oseltamivir
CID100004607;oxacilina
CID100004609;oxaliplatina
CID100004614;oxaprozina
CID100004616;oxazepam
CID100004623;oxiconazol
CID100004631;oxprenolol
CID100004634;oxibutinina
CID100004635;oxicodona
CID100004638;oximetolona
CID100004639;oximorfona
CID100004649;APAs
CID100004666;paclitaxel
CID100004673;pamidronato
CID100004675;pancurônio
CID100004678;dexpantenol
CID100004679;pantoprazol
CID100004680;papaverina
CID100004689;paromomicina
CID100004691;paroxetina
CID100004695;isossulfano
CID100004724;penbutolol
CID100004725;penciclovir
CID100004727;D-penicilamina
CID100004730;penicilina
CID100004735;pentamidina
CID100004736;pentazocina
CID100004737;pentobarbital
CID100004739;pentostatina
CID100004740;pentoxifilina
CID100004745;pergolida
CID100004746;perexilina
CID100004747;propericiazina
CID100004748;perfenazina
CID100004756;fenilazo
CID100004763;fenobarbital
CID100004768;fenoxibenzamina
CID100004771;fentermina
CID100004775;4-PBA
CID100004782;fenilefrina
CID100004786;fenilpropanolamina
CID100004810;moxonidina
CID100004811;fisostigmina
CID100004812;vitamina
CID100004819;pilocarpina
CID100004828;pindolol
CID100004829;pioglitazona
CID100004834;piperacilina
CID100004845;pirbuterol
CID100004865;podofilotoxina
CID100004868;polimixina
CID100004870;politiazida
CID100004885;pramipexol
CID100004889;pravastatina
CID100004891;praziquantel
CID100004893;prazosina
CID100004894;prednisolona
CID100004895;prednisolona
CID100004896;prednisolona
CID100004900;prednisona
CID100004906;prilocaína
CID100004908;primaquina
CID100004909;primidona
CID100004911;probenecida
CID100004913;procainamida
CID100004914;procaína
