Original,Traduzido
5'nucleotidase increased,A 5'Nucleotidase aumentou
AGEP,Agep
AIDS dementia complex,Complexo de demência da AIDS
AION,Aion
AML progression,Progressão da LBC
ANA increased,ANA aumentou
Abasia,Abasia
Abdominal abscess,Abscesso abdominal
Abdominal adhesions,Adesões abdominais
Abdominal aortic aneurysm,Aneurisma da aorta abdominal
Abdominal aortic bruit,Bruit aórtico abdominal
Abdominal aortic rupture,Ruptura aórtica abdominal
Abdominal bloating,Inchaço abdominal
Abdominal colic,Cólica abdominal
Abdominal cramps,Cólicas abdominais
Abdominal discomfort,Desconforto abdominal
Abdominal disorder,Transtorno abdominal
Abdominal distension,Distensão abdominal
Abdominal distension gaseous,Distensão abdominal gasosa
Abdominal distress,Sofrimento abdominal
Abdominal hernia,Hérnia abdominal
Abdominal infection,Infecção abdominal
Abdominal injury,Lesão abdominal
Abdominal neoplasm,Neoplasia abdominal
Abdominal pain,Dor abdominal
Abdominal pain aggravated,Dor abdominal agravada
Abdominal pain generalised,Dor abdominal generalizada
Abdominal pain localised,Dor abdominal localizada
Abdominal pain lower,Dor abdominal inferior
Abdominal pain upper,Dor abdominal superior
Abdominal rigidity,Rigidez abdominal
Abdominal sepsis,Sepse abdominal
Abdominal spasm,Espasmo abdominal
Abdominal strangulated hernia,Hérnia estrangulada abdominal
Abdominal symptom,Sintoma abdominal
Abdominal tenderness,Sensibilidade abdominal
Abdominal wall abscess,Abscesso da parede abdominal
Abnormal behaviour,Comportamento anormal
Abnormal bowel sounds,Sons anormais do intestino
Abnormal chest sounds NOS,Sons anormais no peito nos
Abnormal clotting factor,Fator de coagulação anormal
Abnormal dreams,Sonhos anormais
Abnormal ejaculation,Ejaculação anormal
Abnormal eye movements NOS,Movimentos oculares anormais nos
Abnormal faeces,Fezes anormais
Abnormal involuntary movements,Movimentos involuntários anormais
Abnormal labour,Trabalho anormal
Abnormal pigmentation,Pigmentação anormal
Abnormal platelets,Plaquetas anormais
Abnormal sensation in eye,Sensação anormal no olho
Abnormal sleep-related event,Evento anormal relacionado ao sono
Abnormal vision,Visão anormal
Abnormal withdrawal bleeding,Retirada anormal Sangramento
Abnormalities of the hair,Anormalidades do cabelo
Abortion,Aborto
Abortion incomplete,Aborto incompleto
